timestep,r_collision,z_collision,vr_collision,vz_collision
8061,4.810014331920027e-12,4.792809817221877e-06,75.61436287131585,-3463.6185229509106
8062,4.821026514763403e-12,4.792809311718215e-06,75.61179999242147,-3470.886957782351
8063,4.831992483733914e-12,4.7928088072582844e-06,75.60919984971149,-3478.1980340051537
8064,4.84291233995029e-12,4.792808303839996e-06,75.6065620002295,-3485.5519433220097
8065,4.853786184881539e-12,4.792807801461263e-06,75.60388599684141,-3492.9488779144785
8066,4.864614120345013e-12,4.7928073001200024e-06,75.60117138820493,-3500.389030443913
8067,4.875396248504605e-12,4.792806799814136e-06,75.59841771873919,-3507.8725940519194
8068,4.886132671868672e-12,4.792806300541587e-06,75.5956245285937,-3515.39976236145
8069,4.896823493288058e-12,4.792805802300282e-06,75.59279135361753,-3522.9707294775244
8070,4.907468815954023e-12,4.792805305088154e-06,75.58991772532802,-3530.5856899880882
8071,4.9180687433961284e-12,4.792804808903136e-06,75.58700317087946,-3538.2448389649
8072,4.928623379479998e-12,4.792804313743165e-06,75.58404721303134,-3545.9483719646605
8073,4.93913282840517e-12,4.792803819606181e-06,75.5810493701167,-3553.6964850297645
8074,4.949597194702766e-12,4.792803326490131e-06,75.57800915600997,-3561.4893746894973
8075,4.9600165832332765e-12,4.792802834392961e-06,75.57492608009494,-3569.327237960743
8076,4.970391099184062e-12,4.792802343312621e-06,75.57179964723208,-3577.2102723494636
8077,4.980720848066977e-12,4.792801853247067e-06,75.568629357726,-3585.138675851688
8078,4.99100593571595e-12,4.7928013641942555e-06,75.56541470729255,-3593.112646954528
8079,5.0012464682844424e-12,4.792800876152148e-06,75.56215518702577,-3601.1323846374494
8080,5.0114425522428346e-12,4.792800389118708e-06,75.55885028336436,-3609.198088373685
8081,5.02159429437593e-12,4.792799903091904e-06,75.55549947805845,-3617.3099581311385
8082,5.0317018017802505e-12,4.792799418069707e-06,75.5521022481356,-3625.4681943738674
8083,5.041765181861317e-12,4.792798934050091e-06,75.54865806586679,-3633.672998063499
8084,5.051784542330954e-12,4.792798451031033e-06,75.54516639873229,-3641.9245706604547
8085,5.0617599912044525e-12,4.792797969010515e-06,75.54162670938702,-3650.2231141255506
8086,5.071691636797824e-12,4.792797487986521e-06,75.53803845562601,-3658.5688309211773
8087,5.081579587724911e-12,4.792797007957037e-06,75.53440109034943,-3666.9619240128577
8088,5.0914239528943865e-12,4.792796528920055e-06,75.53071406152715,-3675.4025968710775
8089,5.1012248415069165e-12,4.792796050873569e-06,75.52697681216355,-3683.8910534724537
8090,5.110982363052117e-12,4.792795573815576e-06,75.52318878026173,-3692.4274983015216
8091,5.1206966273055655e-12,4.7927950977440765e-06,75.51934939878767,-3701.012136352206
8092,5.130367744325681e-12,4.792794622657075e-06,75.51545809563385,-3709.6451731296866
8093,5.139995824450622e-12,4.792794148552578e-06,75.5115142935829,-3718.3268146520604
8094,5.149580978295124e-12,4.792793675428595e-06,75.50751741027084,-3727.0572674521677
8095,5.15912331674736e-12,4.792793203283142e-06,75.5034668581501,-3735.8367385792058
8096,5.168622950965698e-12,4.792792732114235e-06,75.49936204445241,-3744.665435600625
8097,5.17807999237546e-12,4.792792261919894e-06,75.4952023711512,-3753.5435666039402
8098,5.187494552665612e-12,4.792791792698142e-06,75.49098723492381,-3762.471340198701
8099,5.196866743785411e-12,4.792791324447007e-06,75.48671602711345,-3771.448965518506
8100,5.206196677941029e-12,4.792790857164517e-06,75.48238813369072,-3780.4766522230557
8101,5.215484467592238e-12,4.792790390848707e-06,75.47800293521533,-3789.5546104998543
8102,5.224730225448932e-12,4.792789925497612e-06,75.47355980679703,-3798.6830510664636
8103,5.233934064467613e-12,4.792789461109273e-06,75.46905811805627,-3807.8621851728003
8104,5.243096097848017e-12,4.792788997681732e-06,75.46449723308515,-3817.0922246028153
8105,5.252216439029474e-12,4.792788535213035e-06,75.45987651040728,-3826.37338167713
8106,5.261295201687405e-12,4.792788073701233e-06,75.4551953029379,-3835.7058692550518
8107,5.2703324997297895e-12,4.792787613144376e-06,75.45045295794368,-3845.089900736623
8108,5.279328447293407e-12,4.792787153540522e-06,75.44564881700168,-3854.5256900655195
8109,5.288283158740381e-12,4.792786694887728e-06,75.44078221595893,-3864.01345173063
8110,5.297196748654364e-12,4.792786237184059e-06,75.43585248489075,-3873.553400769037
8111,5.306069331836933e-12,4.792785780427578e-06,75.43085894805944,-3883.1457527680755
8112,5.314901023303818e-12,4.792785324616354e-06,75.4258009238723,-3892.790723867981
8113,5.32369193828115e-12,4.79278486974846e-06,75.42067772483936,-3902.4885307644427
8114,5.332442192201708e-12,4.792784415821969e-06,75.41548865753099,-3912.239390711052
8115,5.34115190070115e-12,4.792783962834962e-06,75.41023302253507,-3922.0435215217844
8116,5.349821179614213e-12,4.792783510785519e-06,75.404910114414,-3931.90114157352
8117,5.358450144970804e-12,4.792783059671724e-06,75.39951922166088,-3941.812469809032
8118,5.367038912992191e-12,4.792782609491665e-06,75.39405962665597,-3951.77772573944
8119,5.3755876000870825e-12,4.7927821602434345e-06,75.3885306056223,-3961.797129447137
8120,5.3840963228477766e-12,4.7927817119251255e-06,75.3829314285814,-3971.870901588311
8121,5.3925651980462054e-12,4.792781264534836e-06,75.37726135930839,-3981.9992633959473
8122,5.400994342630046e-12,4.792780818070666e-06,75.37151965528693,-3992.1824366824217
8123,5.409383873718664e-12,4.79278037253072e-06,75.36570556766334,-4002.4206438428864
8124,5.4177339085992545e-12,4.792779927913104e-06,75.35981834120116,-4012.71410785763
8125,5.426044564722755e-12,4.792779484215929e-06,75.35385721423452,-4023.0630522955453
8126,5.434315959699921e-12,4.792779041437308e-06,75.34782141862192,-4033.4677013167093
8127,5.442548211297238e-12,4.7927785995753565e-06,75.34171017969895,-4043.928279675778
8128,5.4507414374329134e-12,4.792778158628196e-06,75.33552271623107,-4054.4450127249506
8129,5.45889575617288e-12,4.792777718593948e-06,75.32925824036619,-4065.018126416808
8130,5.467011285726639e-12,4.792777279470739e-06,75.32291595758613,-4075.647847307984
8131,5.475088144443274e-12,4.792776841256698e-06,75.31649506665862,-4086.334402561918
8132,5.483126450807297e-12,4.792776403949958e-06,75.30999475958811,-4097.078019952443
8133,5.491126323434616e-12,4.7927759675486536e-06,75.30341422156683,-4107.878927866771
8134,5.499087881068389e-12,4.7927755320509235e-06,75.29675263092506,-4118.737355308991
8135,5.507011242574911e-12,4.79277509745491e-06,75.29000915908108,-4129.653531903454
8136,5.5148965269395445e-12,4.792774663758758e-06,75.28318297049107,-4140.627687897852
8137,5.522743853262529e-12,4.792774230960615e-06,75.27627322259802,-4151.660054167005
8138,5.530553340754842e-12,4.792773799058633e-06,75.26927906578047,-4162.750862216346
